player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name,pair_name
1720,1727,52,1915,140,0.03,Michael Doleac,Pat Garrity,Michael Doleac + Pat Garrity
361,915,66,1888,150,0.03,Clifford Robinson,Rodney Rogers,Clifford Robinson + Rodney Rogers
1521,178,56,1880,116,0.03,Jacque Vaughn,Olden Polynice,Jacque Vaughn + Olden Polynice
1915,383,62,1876,120,0.03,Evan Eschmeyer,Kendall Gill,Evan Eschmeyer + Kendall Gill
1562,393,58,1785,128,0.03,Gerard King,Rod Strickland,Gerard King + Rod Strickland
1732,436,58,1701,115,0.03,Felipe Lopez,Juwan Howard,Felipe Lopez + Juwan Howard
166,406,48,1683,83,0.03,Ron Harper,Shaquille O'Neal,Ron Harper + Shaquille O'Neal
1513,1715,53,1637,123,0.03,Scot Pollard,Jason Williams,Scot Pollard + Jason Williams
120,1719,51,1539,114,0.03,Steven Smith,Bonzi Wells,Steven Smith + Bonzi Wells
1000,672,41,1489,111,0.03,Shandon Anderson,Matt Bullard,Shandon Anderson + Matt Bullard
1513,57,43,1454,114,0.03,Scot Pollard,Doug Christie,Scot Pollard + Doug Christie
283,951,46,1381,105,0.03,Lindsey Hunter,Ray Allen,Lindsey Hunter + Ray Allen
369,84,44,1373,88,0.03,Charlie Ward,Latrell Sprewell,Charlie Ward + Latrell Sprewell
1899,702,40,1360,95,0.03,James Posey,Voshon Lenard,James Posey + Voshon Lenard
363,762,33,1291,94,0.03,Christian Laettner,Shawn Bradley,Christian Laettner + Shawn Bradley
1727,448,40,1275,94,0.03,Pat Garrity,Bo Outlaw,Pat Garrity + Bo Outlaw
1838,2032,33,1254,83,0.03,Tyrone Nesby,Darius Miles,Tyrone Nesby + Darius Miles
2052,304,43,1234,84,0.03,DeShawn Stevenson,John Stockton,DeShawn Stevenson + John Stockton
278,431,34,1222,99,0.03,Stacey Augmon,Shawn Kemp,Stacey Augmon + Shawn Kemp
